!Clamp R On && ! Active eCall On && !RST	!Clamp R включен && ! Active eCall включен && !RST
% Tastverhaeltnis	% Скважность
% Tastverhältnis	% Скважность
P1569 Nockenwellenversteller Einlass (Bank 2) - Leitungsunterbrechung	P1569 Регулятор фаз впускного распредвала (блок 2) - обрыв цепи
P1570 Steuergerät Sensorversorgung A - Output niedrig	P1570 Блок управления, питание датчика A - выход низкий
P1571 Steuergerät Sensorversorgung A - Output hoch	P1571 Блок управления, питание датчика A - выход высокий
P1572 Steuergerät Sensorversorgung A - Signal rauschend	P1572 Блок управления, питание датчика A - сигнал зашумлён
P1573 Steuergerät Sensorversorgung B - Output niedrig (S54/S62: Nockenwellenversteller Einlass (Bank 2) - Signal niedrig)	P1573 Блок управления, питание датчика B - выход низкий (S54/S62: регулятор фаз ГРМ впуск (банк 2) - сигнал низкий)
P1574 Steuergerät Sensorversorgung B - Output hoch	P1574 Блок управления, питание датчика B - выход высокий
P1575 Steuergerät Sensorversorgung B - Signal rauschend	P1575 Блок управления, питание датчика B - сигнал зашумлён
P1577 Geschwindigkeitsanzeige Instrumentenkombination - Signal fehlerhaft	P1577 Индикация скорости комбинации приборов - сигнал неисправен
P1578 Geschwindigkeitsanzeige Kombi - Signal Instrumentenkombination / ASC nicht kompatibel	P1578 Индикация скорости комбинации приборов - сигнал комбинации приборов / ASC несовместим
P1580 Drosselklappe - klemmt mechanisch (M73: Drosselklappe 1 Federtest - Fehlfunktion)	P1580 Дроссельная заслонка - механически заклинена (M73: дроссельная заслонка 1, тест пружины - неисправность)
P1581 Nockenwellenversteller Auslass (Bank 2) - Leitungsunterbrechung (M73: Drosselklappe 2 Federtest - Fehlfunktion)	P1581 Регулятор фаз ГРМ выпуск (банк 2) - обрыв цепи (M73: дроссельная заслонка 2, тест пружины - неисправность)
P1585 Verbrennungsaussetzer entdeckt bei niedrigem Kraftstoffstand	P1585 Пропуски воспламенения обнаружены при низком уровне топлива
P1589 Steuergeräte-Selbsttest, Klopfregelung Testimpuls (Bank 1)	P1589 Самотест блока управления, регулирование детонации, тестовый импульс (банк 1)
P1590 Drosselklappe 2 Potentiometer 1/2 - Input niedrig	P1590 Дроссельная заслонка 2, потенциометр 1/2 - вход низкий
P1591 Drosselklappe 2 Potentiometer 1/2 - Input hoch	P1591 Дроссельная заслонка 2, потенциометр 1/2 - вход высокий
P1592 Drosselklappe 2 Potentiometer 1/2 - Plausibilitätsfehler	P1592 Дроссельная заслонка 2, потенциометр 1/2 - ошибка правдоподобия
P1593 DISA (differenzierte Sauganlage) - elektrischer Fehler	P1593 DISA (дифференцированная впускная система) - электрическая неисправность
P1594 Nockenwellenversteller Auslass (Bank 2) - Leitungsunterbrechung	P1594 Регулятор фаз ГРМ выпуск (банк 2) - обрыв цепи
P1595 Steuergerätekopplung - interner Prüfsummenfehler, SG Bank 2 defekt	P1595 Связь блоков управления - внутренняя ошибка контрольной суммы, блок управления банк 2 неисправен
P1596 Steuergerätekopplung - CAN-Timeout, SG Bank 2 defekt	P1596 Связь блоков управления - таймаут CAN, блок управления банк 2 неисправен
P1597 Steuergeräteauswahl - Entprellfehler	P1597 Выбор блока управления - ошибка подавления дребезга
P1598 Steuergeräteauswahl Master/Slave - Plausibilitätsfehler	P1598 Выбор блока управления Master/Slave - ошибка правдоподобия
P1599 CAN-Timeout Getriebesteuergerät 2	P1599 Таймаут CAN блока управления коробкой передач 2
P1600 Steuergerät - externer 'Random Access Memory' (RAM) Fehler	P1600 Блок управления - ошибка внешней памяти RAM
P1601 Steuergeräte-Selbsttest, Sicherheitskraftstoffabschaltung (SKA) - Fehlfunktion	P1601 Самотест блока управления, предохранительное отключение топлива (SKA) - неисправность
P1602 Steuergeräte-Selbsttest, Gerät defekt	P1602 Самотест блока управления, устройство неисправно
P1603 Steuergeräte-Selbsttest, Momentüberwachung	P1603 Самотест блока управления, контроль момента
P1604 Steuergeräte-Selbsttest, Drehzahlüberwachung	P1604 Самотест блока управления, контроль оборотов
P1605 Sicherheitskonzept Momentbegrenzung Ebene 1	P1605 Концепция безопасности, ограничение момента, уровень 1
P1606 Fehlerspeicher - Plausibilitätsfehler	P1606 Память неисправностей - ошибка правдоподобия
P1607 CAN-Stand	P1607 Версия CAN
P1608 Serielle Kommunikationsverbindung Steuergerät	P1608 Последовательная линия связи блока управления
P1609 Serielle Kommunikationsverbindung EML (elektronische Motorleistungsregelung)	P1609 Последовательная линия связи EML (электронное регулирование мощности двигателя)
P160A Powermanagement - Tiefentladung	P160A Управление питанием - глубокий разряд
P160B Powermanagement - Defekt	P160B Управление питанием - неисправность
P160C Powermanagement - Überspannung	P160C Управление питанием - перенапряжение
P160D Powermanagement - Unterspannung	P160D Управление питанием - пониженное напряжение
P160E Powermanagement - Batterieloser Betrieb	P160E Управление питанием - работа без аккумулятора
P160F Powermanagement - Ruhestromfehler	P160F Управление питанием - ошибка тока покоя
P1610 Serielle Kommunikationsverbindung E-Katalysator	P1610 Последовательная линия связи электрокатализатора
P1611 Serielle Kommunikationsverbindung Getriebesteuergerät	P1611 Последовательная линия связи блока управления коробкой передач
P1612 Serielle Kommunikationsverbindung Instrumentenkombination	P1612 Последовательная линия связи комбинации приборов
P1613 Serielle Kommunikationsverbindung ASC (Automatic Stability Control)	P1613 Последовательная линия связи ASC (автоматическая система стабилизации)
P1614 Serielle Kommunikationsverbindung ACC (Adaptive Cruise Control)	P1614 Последовательная линия связи ACC (адаптивный круиз-контроль)
P1615 Steuergerät Prozessor SPI-Bus - Fehlfunktion	P1615 Процессор блока управления, шина SPI - неисправность
P1616 Steuergerät Kodierspeicher - Prüfsummenfehler	P1616 Память кодирования блока управления - ошибка контрольной суммы
P1617 Steuergerät H-Brückentreiber	P1617 Блок управления, драйвер H-моста
P1618 Steuergeräte-Selbsttest, AD-Wandler-Überwachung	P1618 Самотест блока управления, контроль АЦП
P1619 Kennfeldkühlung Thermostat Ansteuerung - Signal niedrig	P1619 Управление термостатом карты охлаждения - сигнал низкий
P161A Kraftstoffrücklaufbelüftungsventil - Input hoch	P161A Вентиляционный клапан обратного слива топлива - вход высокий
P161B Kraftstoffrücklaufbelüftungsventil - Input niedrig	P161B Вентиляционный клапан обратного слива топлива - вход низкий
P161C Kraftstoffrücklaufbelüftungsventil - Leitungsunterbrechung	P161C Вентиляционный клапан обратного слива топлива - обрыв цепи
P161D Drosselklappen-Adaption (Bank 2) - Federtest verfehlt	P161D Адаптация дроссельной заслонки (банк 2) - тест пружины не пройден
P161E Drosselklappensteller Federtest (Bank 2) - Fehlfunktion	P161E Привод дроссельной заслонки, тест пружины (банк 2) - неисправность
P161F Drosselklappensteller Federtest (Bank 2) - Fehlfunktion beim Öffnen	P161F Привод дроссельной заслонки, тест пружины (банк 2) - неисправность при открытии
P1620 Kennfeldkühlung Thermostat Ansteuerung - Signal hoch	P1620 Управление термостатом карты охлаждения - сигнал высокий
P1621 Kennfeldkühlung Thermostat Ansteuerung - Signal sporadisch	P1621 Управление термостатом карты охлаждения - сигнал спорадический
P1622 Kennfeldkühlung Thermostat Ansteuerung - elektrischer Fehler	P1622 Управление термостатом карты охлаждения - электрическая неисправность
P1623 Pedalwertgeber Potentiometerversorgung - Fehlfunktion	P1623 Датчик положения педали, питание потенциометра - неисправность
P1624 Pedalwertgeber Potentiometerversorgung Kanal 1 - elektrischer Fehler (M52: Kühlmittelthermostat (Kühlmitteltemperatur unterhalb Thermostat Regeltemperatur))	P1624 Датчик положения педали, питание потенциометра, канал 1 - электрическая неисправность (M52: термостат охлаждающей жидкости (температура охлаждающей жидкости ниже температуры регулирования термостата))
P1625 Pedalwertgeber Potentiometerversorgung Kanal 2 - elektrischer Fehler	P1625 Датчик положения педали, питание потенциометра, канал 2 - электрическая неисправность
P1626 Generator Lastsensor - Input niedrig	P1626 Датчик нагрузки генератора - вход низкий
P1627 Generator Lastsensor - Input hoch	P1627 Датчик нагрузки генератора - вход высокий
P1628 Drosselklappensteller Federtest (Bank 1) - Fehlfunktion beim Öffnen	P1628 Привод дроссельной заслонки, тест пружины (банк 1) - неисправность при открытии
P1629 Drosselklappensteller Federtest (Bank 1) - Abbruch, Feder öffnet nicht	P1629 Привод дроссельной заслонки, тест пружины (банк 1) - прерывание, пружина не открывается
P162A Drosselklappensteller Federtest (Bank 2) - Abbruch, Feder öffnet nicht	P162A Привод дроссельной заслонки, тест пружины (банк 2) - прерывание, пружина не открывается
P162B Drosselklappen Lageregelung  (Bank 2) - Regeldifferenz	P162B Регулирование положения дроссельной заслонки (банк 2) - отклонение регулирования
P162C Drosselklappen Lageregelung (Bank 2) - klemmt kurzzeitig	P162C Регулирование положения дроссельной заслонки (банк 2) - кратковременное заклинивание
P162D Drosselklappen Lageregelung (Bank 2) - klemmt anhaltend	P162D Регулирование положения дроссельной заслонки (банк 2) - устойчивое заклинивание
P162E Steuergerät - interner 'Reset TPU-RAM' Fehler	P162E Блок управления - внутренняя ошибка сброса TPU-RAM
P162F Steuergerät - interner 'Reset TPU' Fehler	P162F Блок управления - внутренняя ошибка сброса TPU
P1630 Drosselklappen Ansteuerung (Bank 2) - Fehlfunktion	P1630 Управление дроссельной заслонкой (банк 2) - неисправность
P1631 Drosselklappensteller Federtest (Bank 1) - Fehlfunktion	P1631 Привод дроссельной заслонки, тест пружины (банк 1) - неисправность
P1632 Drosselklappen-Adaption - Randbedingungen verletzt	P1632 Адаптация дроссельной заслонки - нарушены граничные условия
P1633 Drosselklappen-Adaption - Notluftpunkt nicht adaptiert	P1633 Адаптация дроссельной заслонки - точка аварийного воздуха не адаптирована
P1634 Drosselklappen-Adaption (Bank 1) - Federtest verfehlt	P1634 Адаптация дроссельной заслонки (банк 1) - тест пружины не пройден
P1635 Drosselklappen-Adaption - unterer mechanischer Anschlag (UMA) nicht adaptiert	P1635 Адаптация дроссельной заслонки - нижний механический упор (UMA) не адаптирован
P1636 Drosselklappen Ansteuerung (Bank 1) - Fehlfunktion	P1636 Управление дроссельной заслонкой (банк 1) - неисправность
P1637 Drosselklappen Lageregelung  (Bank 1) - Regeldifferenz	P1637 Регулирование положения дроссельной заслонки (банк 1) - отклонение регулирования
P1638 Drosselklappen Lageregelung (Bank 1) - klemmt kurzzeitig	P1638 Регулирование положения дроссельной заслонки (банк 1) - кратковременное заклинивание
P1639 Drosselklappen Lageregelung (Bank 1) - klemmt anhaltend	P1639 Регулирование положения дроссельной заслонки (банк 1) - устойчивое заклинивание
P163A Powertrain Steuergerät/Motorsteuergerät/Getriebesteuergerät - Innentemperatur zu niedrig	P163A Блок управления силовым агрегатом/двигателем/коробкой передач - внутренняя температура слишком низкая
P163B Drosselklappen-Adaption - keine Adaption nach Austausch	P163B Адаптация дроссельной заслонки - нет адаптации после замены
P163C Spannungsüberwachungs-Steuergerät - Überspannung	P163C Блок контроля напряжения - перенапряжение
P163D Spannungsüberwachungs-Steuergerät - Abschaltung erkannt	P163D Блок контроля напряжения - обнаружено отключение
P163E Spannungsüberwachungs-Steuergerät - Kommunikationsfehler	P163E Блок контроля напряжения - ошибка связи
P163F Steuergeräteüberwachung A/D-Wandler Testspannung - Plausibilitätsfehler	P163F Контроль блока управления, тестовое напряжение АЦП - ошибка правдоподобия
P1640 Steuergerät - interner RAM/ROM Fehler	P1640 Блок управления - внутренняя ошибка RAM/ROM
P1641 Drosselklappen-Adaption - Abbruch wegen Umweltbedingungen	P1641 Адаптация дроссельной заслонки - прерывание из-за внешних условий
P1642 Drosselklappen-Adaption - Abbruch wegen Umweltgrößen	P1642 Адаптация дроссельной заслонки - прерывание из-за внешних параметров
P1643 Drosselklappensteller Startprüfung Verstärkerabgleich - Plausibilitätsfehler	P1643 Привод дроссельной заслонки, стартовая проверка регулировки усилителя - ошибка правдоподобия
P1644 Drosselklappen-Adaption - Abbruch unterer mechanischer Anschlag (UMA) Wiederlernen	P1644 Адаптация дроссельной заслонки - прерывание переобучения нижнего механического упора (UMA)
P1645 Steuergerät - interner 'Random Access Memory' (RAM) Lesefehler	P1645 Блок управления - внутренняя ошибка чтения памяти RAM
P1646 Anlasserrelais 2 Ansteuerung - Signal sporadisch	P1646 Управление реле стартера 2 - сигнал спорадический
P1647 Anlasserrelais 2 Ansteuerung - Signal niedrig	P1647 Управление реле стартера 2 - сигнал низкий
P1648 Anlasserrelais 2 Ansteuerung - Signal hoch	P1648 Управление реле стартера 2 - сигнал высокий
P1649 Steuergerät - interner 'Random Access Memory' (RAM) Schreibfehler	P1649 Блок управления - внутренняя ошибка записи памяти RAM
P164A Hauptrelais - Unterspannung	P164A Главное реле - пониженное напряжение
P1650 Start in laufendem Motor	P1650 Пуск при работающем двигателе
P1651 Malfunction Indicator Lamp (MIL) - Signal niedrig	P1651 Лампа индикации неисправности (MIL) - сигнал низкий
P1652 Malfunction Indicator Lamp (MIL) - Signal hoch	P1652 Лампа индикации неисправности (MIL) - сигнал высокий
P1653 Getriebemoment - Plausibilitätsfehler	P1653 Момент коробки передач - ошибка правдоподобия
P1654 CAN-Timeout Message Counter	P1654 Таймаут CAN, счётчик сообщений
P1655 EWS (elektronische Wegfahrsperre) - Wechselcode-Ablage Fehlfunktion	P1655 EWS (электронный иммобилайзер) - неисправность хранения сменного кода
P1656 EWS (elektronische Wegfahrsperre) - falscher Code	P1656 EWS (электронный иммобилайзер) - неверный код
P1657 EWS (elektronische Wegfahrsperre) - Wechselcode-Ablage im Flash fehlerhaft	P1657 EWS (электронный иммобилайзер) - хранение сменного кода во Flash повреждено
P1658 EWS (elektronische Wegfahrsperre) - Wechselcode vorletztes Wort im Flash fehlerhaft	P1658 EWS (электронный иммобилайзер) - предпоследнее слово сменного кода во Flash повреждено
P1659 EWS (elektronische Wegfahrsperre) - Wechselcode-Ablage im RAM fehlerhaft	P1659 EWS (электронный иммобилайзер) - хранение сменного кода в RAM повреждено
P1660 EWS (elektronische Wegfahrsperre) - Telegrammfehler	P1660 EWS (электронный иммобилайзер) - ошибка телеграммы
P1661 Timeout EWS (elektronische Wegfahrsperre)-Telegramm	P1661 Таймаут телеграммы EWS (электронный иммобилайзер)
P1662 EWS (elektronische Wegfahrsperre) - Telegrammparityfehler	P1662 EWS (электронный иммобилайзер) - ошибка чётности телеграммы
P1663 EWS (elektronische Wegfahrsperre) - Wechselcode-Ablage im EEPROM fehlerhaft	P1663 EWS (электронный иммобилайзер) - хранение сменного кода в EEPROM повреждено
P1664 EWS (elektronische Wegfahrsperre) - Schreib-/Lesefehler EEPROM	P1664 EWS (электронный иммобилайзер) - ошибка записи/чтения EEPROM
P1665 EWS (elektronische Wegfahrsperre) - Manipulation über Wechselcode	P1665 EWS (электронный иммобилайзер) - вмешательство через сменный код
P1666 EWS (elektronische Wegfahrsperre) - Manipulation über KWP2000Ü* / Startwert nicht akzeptiert	P1666 EWS (электронный иммобилайзер) - вмешательство через KWP2000Ü* / стартовое значение не принято
P1667 EWS (elektronische Wegfahrsperre) - noch kein Startwert programmiert	P1667 EWS (электронный иммобилайзер) - стартовое значение ещё не запрограммировано
P1668 EWS (elektronische Wegfahrsperre) - Startwert zerstört	P1668 EWS (электронный иммобилайзер) - стартовое значение повреждено
P1669 EWS (elektronische Wegfahrsperre) - Startwertprogrammierung fehlerhaft	P1669 EWS (электронный иммобилайзер) - программирование стартового значения неисправно
P1670 Getriebeeingriff - Plausibilitätsfehler	P1670 Вмешательство коробки передач - ошибка правдоподобия
P1671 ASC (Automatic Stability Control)-Eingriff mit Zylinderabschaltung - Plausibilitätsfehler	P1671 Вмешательство ASC (автоматическая система стабилизации) с отключением цилиндров - ошибка правдоподобия
P1672 MSR (MotorSchleppmomentRegelung)-Eingriff - Plausibilitätsfehler	P1672 Вмешательство MSR (регулирование момента принудительного холостого хода) - ошибка правдоподобия
P1673 ASC (Automatic Stability Control)-Eingriff - Plausibilitätsfehler	P1673 Вмешательство ASC (автоматическая система стабилизации) - ошибка правдоподобия
P1674 ASC (Automatic Stability Control) - keine Aktivität festzustellen	P1674 ASC (автоматическая система стабилизации) - активность не обнаружена
P1675 Drosselklappensteller Startprüfung - Neuadaption erforderlich	P1675 Привод дроссельной заслонки, стартовая проверка - требуется повторная адаптация
P1676 ACC (Adaptive Cruise Control) Signal - Plausibilitätsfehler	P1676 Сигнал ACC (адаптивный круиз-контроль) - ошибка правдоподобия
P1677 ACC (Adaptive Cruise Control) - keine Aktivität festzustellen	P1677 ACC (адаптивный круиз-контроль) - активность не обнаружена
P1678 ACC (Adaptive Cruise Control) - keine Reaktion auf ACC Abschaltung	P1678 ACC (адаптивный круиз-контроль) - нет реакции на отключение ACC
P1679 Elektronische Drosselklappenüberwachung Ebene 2/3 Verlustmomentberechung - Fehler	P1679 Электронный контроль дроссельной заслонки, уровень 2/3, расчёт момента потерь - ошибка
P167A ACC (Adaptive Cruise Control) - sporadische Aktivität festzustellen	P167A ACC (адаптивный круиз-контроль) - обнаружена спорадическая активность
P1680 Elektronische Drosselklappenüberwachung Ebene 2/3 AD-Wandler -  Prozesserfehler	P1680 Электронный контроль дроссельной заслонки, уровень 2/3, АЦП - процессорная ошибка
P1681 Elektronische Drosselklappenüberwachung Ebene 2/3 Drehzahl - Berechnungsfehler	P1681 Электронный контроль дроссельной заслонки, уровень 2/3, обороты - ошибка расчёта
P1682 Elektronische Drosselklappenüberwachung Ebene 2/3 Leerlaufdrehzahl 'A' - Berechnungsfehler	P1682 Электронный контроль дроссельной заслонки, уровень 2/3, обороты холостого хода 'A' - ошибка расчёта
P1683 Elektronische Drosselklappenüberwachung Ebene 2/3 Leerlaufdrehzahl 'B' - Berechnungsfehler	P1683 Электронный контроль дроссельной заслонки, уровень 2/3, обороты холостого хода 'B' - ошибка расчёта
P1684 Elektronische Drosselklappenüberwachung Ebene 2/3 Kupplungsmoment - Min-Fehler	P1684 Электронный контроль дроссельной заслонки, уровень 2/3, момент сцепления - ошибка минимума
P1685 Elektronische Drosselklappenüberwachung Ebene 2/3 Kupplungsmoment - Max-Fehler	P1685 Электронный контроль дроссельной заслонки, уровень 2/3, момент сцепления - ошибка максимума
P1686 Elektronische Drosselklappenüberwachung Ebene 2/3 Pedalwertgeber - Diagnosefehler	P1686 Электронный контроль дроссельной заслонки, уровень 2/3, датчик положения педали - диагностическая ошибка
P1687 Elektronische Drosselklappenüberwachung Ebene 2/3 Drosselklappenpotentiometer - Diagnosefehler	P1687 Электронный контроль дроссельной заслонки, уровень 2/3, потенциометр дроссельной заслонки - диагностическая ошибка
P1688 Elektronische Drosselklappenüberwachung Ebene 2/3  Luftmassenberechnung - Fehler	P1688 Электронный контроль дроссельной заслонки, уровень 2/3, расчёт массы воздуха - ошибка
P1689 Elektronische Drosselklappenüberwachung Ebene 2/3 Momentenberechnung - Fehler	P1689 Электронный контроль дроссельной заслонки, уровень 2/3, расчёт момента - ошибка
P1690 Malfunction Indicator Lamp (MIL) - elektrischer Fehler	P1690 Лампа индикации неисправности (MIL) - электрическая неисправность
P1691 Elektronische Drosselklappenüberwachung Ebene 2/3 Motordrehzahlbegrenzung - Fehler	P1691 Электронный контроль дроссельной заслонки, уровень 2/3, ограничение оборотов двигателя - ошибка
P1692 Elektronische Drosselklappenüberwachung Ebene 2/3 Motordrosselklappe und Einspritzabschaltung 'A'	P1692 Электронный контроль дроссельной заслонки, уровень 2/3, дроссельная заслонка двигателя и отключение впрыска 'A'
P1693 Elektronische Drosselklappenüberwachung Ebene 2/3 Motordrosselklappe und Einspritzabschaltung 'B'	P1693 Электронный контроль дроссельной заслонки, уровень 2/3, дроссельная заслонка двигателя и отключение впрыска 'B'
P1694 Drosselklappensteller Startprüfung - Federtest und Notluftprüfung verfehlt	P1694 Привод дроссельной заслонки, стартовая проверка - тест пружины и проверка аварийного воздуха не пройдены
P1695 Hauptrelais - elektrischer Fehler	P1695 Главное реле - электрическая неисправность
P1696 Hauptrelais Ansteuerung - Input niedrig	P1696 Управление главным реле - вход низкий
P1697 Hauptrelais Ansteuerung - Input hoch	P1697 Управление главным реле - вход высокий
P1698 Getriebesteuergerät - Steuerungsfehler	P1698 Блок управления коробкой передач - ошибка управления
P1699 Getriebesteuergerät - Prüfsummenfehler	P1699 Блок управления коробкой передач - ошибка контрольной суммы
P169A Drosselklappensteller Startprüfung - Notluftprüfung verfehlt	P169A Привод дроссельной заслонки, стартовая проверка - проверка аварийного воздуха не пройдена
P16A0 Steuergerät - interner Prüfsummenfehler in Bootsoftware	P16A0 Блок управления - внутренняя ошибка контрольной суммы в загрузочном ПО
P16A1 Steuergerät - interner Prüfsummenfehler in Applikatonssoftware	P16A1 Блок управления - внутренняя ошибка контрольной суммы в прикладном ПО
P16A2 Steuergerät - interner Prüfsummenfehler im Datenbereich	P16A2 Блок управления - внутренняя ошибка контрольной суммы в области данных
P16A3 Steuergerät - interner 'Non-Volatile Memory' (NVMY) Fehler	P16A3 Блок управления - внутренняя ошибка энергонезависимой памяти (NVMY)
P16A4 Timeout Steuergerät Klopfsensor SPI-Bus	P16A4 Таймаут блока управления, датчик детонации, шина SPI
P16A5 Timeout Steuergerät Mehrfachendstufe SPI-Bus	P16A5 Таймаут блока управления, многоканальный усилитель, шина SPI
P16A6 Steuergeräte-Selbsttest, Fahrgeschwindigkeitsregelungsüberwachung	P16A6 Самотест блока управления, контроль регулирования скорости движения
P16A7 Steuergeräte-Selbsttest, Heißfilmluftmassenmesser (HFM)-Überwachung	P16A7 Самотест блока управления, контроль датчика массового расхода воздуха (HFM)
P16A8 Steuergeräte-Selbsttest, Drosselklappenstellungsüberwachung	P16A8 Самотест блока управления, контроль положения дроссельной заслонки
P16A9 Steuergeräte-Selbsttest, Drehzahlüberwachung Reset	P16A9 Самотест блока управления, сброс контроля оборотов
P16B0 Steuergeräte-Selbsttest, Pedalwertüberwachung	P16B0 Самотест блока управления, контроль положения педали
P16B1 Steuergeräte-Selbsttest, Leerlaufregelsystemüberwachung integrierender Anteil - Plausibilitätsfehler	P16B1 Самотест блока управления, контроль системы регулирования холостого хода, интегральная составляющая - ошибка правдоподобия
P16B2 Steuergeräte-Selbsttest, Leerlaufregelsystemüberwachung PD (Proportional-Differential)-Anteil - Plausibilitätsfehler	P16B2 Самотест блока управления, контроль системы регулирования холостого хода, PD (пропорционально-дифференциальная) составляющая - ошибка правдоподобия
P16B3 Steuergeräte-Selbsttest, MSR (MotorSchleppmomentRegelung)-Überwachung	P16B3 Самотест блока управления, контроль MSR (регулирование момента принудительного холостого хода)
P16B4 Steuergeräte-Selbsttest, DCC (Dynamic Cruise Control)-Überwachung	P16B4 Самотест блока управления, контроль DCC (динамический круиз-контроль)
P16B5 Steuergeräte-Selbsttest, SSG (sequentielles Schaltgetriebe)-Überwachung	P16B5 Самотест блока управления, контроль SSG (секвентальная коробка передач)
P16B6 Steuergeräte-Selbsttest, EGS (elektronische Getriebesteuerung)-Überwachung	P16B6 Самотест блока управления, контроль EGS (электронное управление коробкой передач)
P16B7 Steuergeräte-Selbsttest, Kupplungsmomentüberwachung - Maximalwert Plausibilitätsfehler	P16B7 Самотест блока управления, контроль момента сцепления - ошибка правдоподобия максимального значения
P16B8 Steuergeräte-Selbsttest, Kupplungsmomentüberwachung - Minimalwert Plausibilitätsfehler	P16B8 Самотест блока управления, контроль момента сцепления - ошибка правдоподобия минимального значения
P16B9 Steuergeräte-Selbsttest, Verlustmomentüberwachung	P16B9 Самотест блока управления, контроль момента потерь
P16C0 Steuergeräte-Selbsttest, Fahrdynamikkontrollschalter-Überwachung	P16C0 Самотест блока управления, контроль переключателя динамики движения
P16C1 Steuergeräte-Selbsttest, Momentüberwachung - aktuell indizierter Wert Plausibilitätsfehler	P16C1 Самотест блока управления, контроль момента - ошибка правдоподобия текущего индицированного значения
P16C2 Steuergeräte-Selbsttest, Drehzahlbegrenzungsüberwachung	P16C2 Самотест блока управления, контроль ограничения оборотов
P16C3 Steuergeräte-Selbsttest, Drehzahlbegrenzung Reset	P16C3 Самотест блока управления, сброс ограничения оборотов
P16C4 Schaltphase - Drehmoment Plausibilitätsfehler	P16C4 Фаза переключения - ошибка правдоподобия крутящего момента
P16C5 Hauptrelais - Schaltverzögerung	P16C5 Главное реле - задержка переключения
P16C6 CAN-Timeout BSD (Bitserielle Datenschnittstelle)	P16C6 Таймаут CAN BSD (побитовый последовательный интерфейс данных)
P16C7 ASC/DSC (Automatic Stability Control/Dynamic Stability Control) - Sperrung wegen unplausibler Werte	P16C7 ASC/DSC (автоматическая/динамическая система стабилизации) - блокировка из-за неправдоподобных значений
P16C8 Serielle Kommunikationverbindung EKP (elektrische Kraftstoffpumpe)	P16C8 Последовательная линия связи EKP (электрический топливный насос)
P1700 Doppelfehler Abtriebsdrehzahl und Turbinendrehzahl	P1700 Двойная ошибка оборотов выходного вала и оборотов турбины
P1701 Doppelfehler Positionsinformation CAN / serielle Leitung	P1701 Двойная ошибка информации о положении CAN / последовательная линия
P1702 Kombination Ersatzfunktion	P1702 Комбинация приборов, аварийная функция
P1703 Getriebewählschalter - Fehlfunktion	P1703 Переключатель выбора передач - неисправность
P1704 Getriebeöltemperaturfühler 1 - Kurzschluss	P1704 Датчик температуры масла коробки передач 1 - короткое замыкание
P1705 Getriebesteuergerät LED Output - Leitungsunterbrechung	P1705 Блок управления коробкой передач, выход LED - обрыв цепи
P1706 Getriebesteuergerät LED Output - Kurzschluss	P1706 Блок управления коробкой передач, выход LED - короткое замыкание
P1707 EGS (elektronische Getriebesteuerung) Sicherheitskonzept Getriebe - Fehlfunktion	P1707 EGS (электронное управление коробкой передач), концепция безопасности коробки передач - неисправность
P1708 EGS (elektronische Getriebesteuerung) Sicherheitskonzept Kupplung - Fehlfunktion	P1708 EGS (электронное управление коробкой передач), концепция безопасности сцепления - неисправность
P1709 EGS (elektronische Getriebesteuerung) Sicherheitskonzept - Fehlfunktion	P1709 EGS (электронное управление коробкой передач), концепция безопасности - неисправность
P170A Elektrischer Drucksteller 1 - Nebenschlussüberwachung	P170A Электрический регулятор давления 1 - контроль шунтирования
P170B Elektrischer Drucksteller 2 - Nebenschlussüberwachung	P170B Электрический регулятор давления 2 - контроль шунтирования
P170C Elektrischer Drucksteller 3 - Nebenschlussüberwachung	P170C Электрический регулятор давления 3 - контроль шунтирования
P170D Elektrischer Drucksteller 4 - Nebenschlussüberwachung	P170D Электрический регулятор давления 4 - контроль шунтирования
P170E Elektrischer Drucksteller 5 - Nebenschlussüberwachung	P170E Электрический регулятор давления 5 - контроль шунтирования
P170F Elektrischer Drucksteller 6 - Nebenschlussüberwachung	P170F Электрический регулятор давления 6 - контроль шунтирования
P1710 Getriebesteuergerät Temperaturfühler - Signal zu hoch	P1710 Блок управления коробкой передач, датчик температуры - сигнал слишком высокий
P1711 Getriebesteuergerät Temperaturfühler - Signal zu niedrig	P1711 Блок управления коробкой передач, датчик температуры - сигнал слишком низкий
P1712 Getriebesteuergerät - interner Fehler Überwachungsebene 2, positiver Motoreingriff	P1712 Блок управления коробкой передач - внутренняя ошибка уровня контроля 2, положительное вмешательство двигателя
P1713 Getriebesteuergerät - interner Fehler Überwachungsebene 2, Berechnung positiver Motoreingriff	P1713 Блок управления коробкой передач - внутренняя ошибка уровня контроля 2, расчёт положительного вмешательства двигателя
P1714 Getriebesteuergerät - interner Fehler Überwachungsebene 2, Berechnung Shift By Wire	P1714 Блок управления коробкой передач - внутренняя ошибка уровня контроля 2, расчёт Shift By Wire
P1715 Hydraulikeinheit Drucküberwachung - Fehlfunktion	P1715 Гидравлический блок, контроль давления - неисправность
P1716 Hydraulikeinheit Einschalthäufigkeit - Fehlfunktion	P1716 Гидравлический блок частота включений - неисправность
P1717 Hydraulikeinheit Einschaltdauer - Fehlfunktion	P1717 Гидравлический блок продолжительность включения - неисправность
