!Clamp R On && ! Active eCall On && !RST	!Clamp R On && ! Active eCall On && !RST
% Tastverhaeltnis	% duty cycle
% Tastverhältnis	% duty cycle
Startautomatik Endstufe	Automatic start output stage
Startautomatik Plausibilitaet  Eingang / Ausgang	Automatic start plausibility input / output
Startbedingungen nicht erfüllt	Start conditions not met
Startmoment	Starting torque
Startrelais	Starter relay
Startverzoegerung	Start delay
Startwert Programmierung/Synchronisation noch nicht ausgefuehrt	Base value programming/synchronization not yet executed
Startwert Programmierung/Synchronisation wird nicht ausgefuehrt in diesem Zyklus	Base value programming/synchronization not executed in this cycle
Startwert defekt	Base value defective
Startwert leer	Base value empty
Startwert nicht akzeptiert	Base value not accepted
Startwert nicht akzeptiert/Zufallszahl nicht geaendert	Base value not accepted/random number not changed
Startwert nicht eindeutig erkennbar (Fehler in 2-aus-3-Auswahl)	Base value not clearly identifiable (fault in 2-out-of-3 selection)
Startwert nicht erkennbar beim Ruecksetzen	Base value not identifiable on reset
Startwert nicht korrekt in Flash programmiert	Base value not correctly programmed in flash
Startwert nicht plausibel	Base value not plausible
Startwert nicht plausibel (wie im DS2-LH definiert)	Base value not plausible (as defined in DS2-LH)
Startwert nicht verstanden	Base value not understood
Startwert nicht vorhanden	Base value not present
Startwert schon gespeichert	Base value already stored
Startwert verstanden aber nicht akzeptiert	Base value understood but not accepted
Startwert verstanden und akzeptiert	Base value understood and accepted
Startwertprogrammierung bzw. -ruecksetzen war erfolgreich	Base value programming or reset was successful
Startwertprogrammierung fehlerhaft	Base value programming faulty
Startwertprogrammierung fehlt	Base value programming missing
Status Anlasser KL50	Status starter terminal 50
Status Anlasserfreigabe	Status starter release
Status BIOS SW	Status BIOS software
Status Catalyst Monitoring	Status catalyst monitoring
Status Comprehensive Component Monitoring	Status comprehensive component monitoring
Status DISA-Diagnose kann nicht ausgegeben werden	Status DISA diagnosis cannot be output
Status Diagnoselampe (CAN)	Status diagnostic lamp (CAN)
Status EGR System Monitoring	Status EGR system monitoring
Status Fehlerauswirkung	Status fault effect
Status Fehlerspeicherkonzept	Status fault memory concept
Status Fuel System Monitoring	Status fuel system monitoring
Status Heckscheibenheizung falsch	Status rear window heater incorrect
Status Hydraulikpumpe	Status hydraulic pump
Status Indikator Lamp FGR	Status indicator lamp cruise control
Status KL15	Status terminal 15
Status LSU-Diagnose kann nicht ausgegeben werden	Status LSU diagnosis cannot be output
Status Ladedruckregelung	Status boost pressure control
Status Misfire Monitoring	Status misfire monitoring
Status Motorbetriebsphase	Status engine operating phase
Status NKAT-Alterung	Status post-catalyst aging
Status Oxygen Sensor Heater Monitoring	Status oxygen sensor heater monitoring
Status Oxygen Sensor Monitoring	Status oxygen sensor monitoring
Status Rueckfahrlichtschalter	Status reverse light switch
Status Shift Lock	Status shift lock
Status Sicherheitsueberw.	Status safety monitoring
Status Standardisierung	Status standardization
Status Systemcheck DMTL wird noch nicht ausgegeben	Status system check DMTL not yet output
Status Systemtest KAT kann nicht ausgegeben werden	Status system test catalyst cannot be output
Status Systemtest SLS kann nicht ausgegeben werden	Status system test SLS cannot be output
Status Systemtest TEV kann nicht ausgegeben werden	Status system test TEV cannot be output
Status VA	Status VA
Status for each Readinessbit only in the current driving cycle	Status for each Readinessbit only in the current driving cycle
Status kann nicht ausgegeben werden	Status cannot be output
Status of AC Compressor	Status of AC Compressor
Status of AirCtl as HighWord-HighByte	Status of AirCtl as HighWord-HighByte
Status of AirCtl as HighWord-LowByte	Status of AirCtl as HighWord-LowByte
Status of AirCtl as LowWord-HighByte	Status of AirCtl as LowWord-HighByte
Status of AirCtl as LowWord-LowByte	Status of AirCtl as LowWord-LowByte
Status of DSM trigger cycles	Status of DSM trigger cycles
Status of MIL	Status of MIL
Status of PCR monitoring	Status of PCR monitoring
Status of Sys lamp	Status of Sys lamp
Status unbekannt	Status unknown
StatusByte LSU unplausibel (lsunpstat)	StatusByte LSU implausible (lsunpstat)
StatusByte LSU unplausibel B2(lsunpstat2)	StatusByte LSU implausible B2 (lsunpstat2)
Statusbit fuer Diagnosefunk. TEV	Status bit for diagnostic function TEV
Statusbyte Digitalausgang	Status byte digital output
Statusbyte Digitalausgang 2	Status byte digital output 2
Statusflag ti-Abschaltung (flgtiab)	Status flag ti shutoff (flgtiab)
Statusleitung Kurzschluss nach Masse	Status line short circuit to ground
Statusleitung Unterbrechung oder Kurzschluss nach Plus	Status line open circuit or short circuit to positive
Stecker Monitor UB Leitungsunterbrechung	Connector monitor UB open circuit
Stecker Monitor Ub Heiz Leitungsunterbrechung	Connector monitor UB heater open circuit
Steller Kennfeldkuehlung	Map cooling actuator
Stellglied hat max. Abschaltzeit ueberschritten	Actuator exceeded max. shutoff time
Stellgroesse Y links	Actuating variable Y left
Stellgroesse Y rechts	Actuating variable Y right
Stellgroesse von Mengenregelventil im Schub nicht plausibel	Actuating variable of metering unit implausible in overrun
Steptronic-Schalter	Steptronic switch
Steuerbetrieb durch Betriebsbedingungen	Open-loop control due to operating conditions
Steuerbetrieb nach Systemfehler	Open-loop control after system fault
Steuerbetrieb, Startbedingungen noch nicht erfuellt	Open-loop control, start conditions not yet met
Steuergeraet Auswahlschalter	Control unit selector switch
Steuergeraet DDE (CAN-Controller)	Control unit DDE (CAN controller)
Steuergeraet DDE (EEPROM und Konfiguration)	Control unit DDE (EEPROM and configuration)
Steuergeraet DDE (Microcontroller)	Control unit DDE (microcontroller)
Steuergeraet DDE (U_REF 2.5V)	Control unit DDE (U_REF 2.5V)
Steuergeraet Einspritzpumpe	Control unit injection pump
Steuergeraet Einspritzpumpe (Kommunikation)	Control unit injection pump (communication)
Steuergeraet Fehler intern	Control unit internal fault
Steuergeraet Selbsttest, interner Fehler	Control unit self-test, internal fault
Steuergeraet defekt	Control unit defective
Steuergeraet defekt ROM	Control unit defective ROM
Steuergeraet defekt ROM    OBDII Fehler !!	Control unit defective ROM    OBDII fault !!
Steuergeraet defekt externes RAM	Control unit defective external RAM
Steuergeraet defekt externes RAM    OBDII Fehler !!	Control unit defective external RAM    OBDII fault !!
Steuergeraet defekt internes RAM	Control unit defective internal RAM
Steuergeraet defekt internes RAM    OBDII Fehler !!	Control unit defective internal RAM    OBDII fault !!
Steuergeraet falsch codiert	Control unit incorrectly coded
Steuergeraet hat sich vom Bus abgeschaltet (Bus off)	Control unit disconnected from bus (bus off)
Steuergeraet im Auslieferungszustand	Control unit in delivery state
Steuergeraet, EEPROM, A-/D-Wandler	Control unit, EEPROM, A/D converter
Steuergeraete - Selbsttest	Control unit self-test
Steuergeraete Fehler	Control unit fault
Steuergeraete Fehler, Einstreuung Drehzahlfuehler	Control unit fault, interference on speed sensor
Steuergeraete Selbsttest	Control unit self-test
Steuergeraete interner Test fehlgeschlagen	Control unit internal test failed
Steuergeraeteausgang Zuendung defekt	Control unit ignition output defective
Steuergeraetefehler	Control unit fault
Steuergeraetefehler Airbag BF LSH	Control unit fault airbag BF LSH
Steuergeraetefehler Airbag BF LSL	Control unit fault airbag BF LSL
Steuergeraetefehler Airbag F LSH	Control unit fault airbag F LSH
Steuergeraetefehler Airbag F LSL	Control unit fault airbag F LSL
Steuergeraetefehler Autarkiefallmerker	Control unit fault backup power memory flag
Steuergeraetefehler Autarkiekondensator	Control unit fault backup capacitor
Steuergeraetefehler Einschwingpruefung	Control unit fault transient response test
Steuergeraetefehler Gurtstr. BF LSH	Control unit fault belt tensioner BF LSH
Steuergeraetefehler Gurtstr. BF LSL	Control unit fault belt tensioner BF LSL
Steuergeraetefehler Gurtstr. F LSH	Control unit fault belt tensioner F LSH
Steuergeraetefehler Gurtstr. F LSL	Control unit fault belt tensioner F LSL
Steuergeraetefehler Mutiplexer	Control unit fault multiplexer
Steuergeraetefehler Reedspule	Control unit fault reed coil
Steuergeraetefehler Sicherheitsschalter / Ueberwachung	Control unit fault safety switch / monitoring
Steuergeraetefehler Signalpfad M1	Control unit fault signal path M1
Steuergeraetefehler Signalpfad M2	Control unit fault signal path M2
Steuergeraetefehler Stromquellenfehler	Control unit fault current source fault
Steuergeraetefehler TZ- Sperrleitung	Control unit fault TZ lockout line
Steuergeraetefehler Zuendkondensator Airbag Beifahrer	Control unit fault ignition capacitor airbag passenger
Steuergeraetefehler Zuendkondensator Airbag Fahrer	Control unit fault ignition capacitor airbag driver
Steuergeraetefehler Zuendkondensator Gstr. Beifahrer	Control unit fault ignition capacitor belt tensioner passenger
Steuergeraetefehler Zuendkondensator Gstr. Fahrer	Control unit fault ignition capacitor belt tensioner driver
Steuergeraetefehler Zuendkontakt Fusspunkt	Control unit fault ignition contact foot point
Steuergeraetefehler im LWR-Teil	Control unit fault in headlight range control section
Steuergeraetefehler, Motorbruecke defekt	Control unit fault, motor bridge defective
Steuergeraetetemperatur zu hoch	Control unit temperature too high
Steuerung Shiftlock	Shiftlock control
Stg-Fehler High-Byte	Control unit fault high byte
Stg-Fehler Low-Byte	Control unit fault low byte
Stoerlampe	Fault indicator lamp
Stoerverriegelung	Fault interlock
Stroemungswiderstand zu hoch (Filter verstopft)	Flow resistance too high (filter clogged)
Stroemungswiderstand zu niedrig (Filter defekt oder nicht verbaut)	Flow resistance too low (filter defective or not installed)
Strom	Current
Strom E-Motor-Ansteuerung zu hoch	Electric motor drive current too high
Strom Temperatur	Current temperature
Strom an High Side zu gross	Current on high side too high
Strom an Low Side zu gross	Current on low side too high
Strommessung defekt (SG intern)	Current measurement defective (control unit internal)
Stromverlauf unplausibel	Current curve implausible
Stromversorgung Waehlhebel	Power supply selector lever
Sturzgas	Overrun fuel cutoff
Switch air conditioning compressor	Switch air conditioning compressor
Synchronisation	Synchronization
Synchronisation fertig	Synchronization complete
Synchronisationsstatus des Zumesshandlers	Synchronization status of metering unit
Synchronitaet der Drehzahlgeber	Synchronicity of speed sensors
System	System
System Saugstrahlpumpe	System jet pump
System Startautomatik  (Ueberpruefung Drehzahlsignal)	System auto-start (speed signal check)
System-Fehler (main loop)	System fault (main loop)
System-Fehler (stack)	System fault (stack)
SystemSupplierSpecific (A)	SystemSupplierSpecific (A)
SystemSupplierSpecific (B)	SystemSupplierSpecific (B)
SystemSupplierSpecific (C)	SystemSupplierSpecific (C)
SystemSupplierSpecific (D)	SystemSupplierSpecific (D)
SystemSupplierSpecific (E)	SystemSupplierSpecific (E)
Systemcheck EKP Relais starten	System check start fuel pump relay
Systemcheck Kurbelgehäuseentlüftung	System check crankcase ventilation
Systemcheck Tank-Lecktest stoppen	System check stop tank leak test
Systemcheck leckage Diagnosepumpe starten	System check start leak diagnostic pump
Systemfehler	System fault
Systemfehler Not-Aus	System fault emergency stop
Systemfunktion aktiv	System function active
Systemtest KAT laeuft	System test catalytic converter running
Systemtest SLS ist beendet	System test SLS finished
Systemtest SLS laeuft	System test SLS running
Systemtest TEV beendet mit Fehler	System test TEV finished with fault
Systemtest TEV beendet ohne Fehler	System test TEV finished without fault
Systemtest TEV ist beendet	System test TEV finished
Systemtest TEV laeuft	System test TEV running
Systemtest ist nicht gestartet	System test not started
Systemtest ist noch nicht gestartet	System test not yet started
Systemtest kann nicht gestartet werden	System test cannot be started
T-Erhöhung zu gering oder Kühler wärmer als Motor	Temperature rise too low or radiator warmer than engine
TCO (Fehlerwert)	TCO (fault value)
TCO unplausibel	TCO implausible
TCO_EX (Fehlerwert)	TCO_EX (fault value)
TEV - Ansteuerung	TEV drive
TEV Messstrom	TEV measuring current
TEV Messzeit	TEV measuring time
TEV klemmt, offen	TEV sticking, open
TEV noch nicht geschlossen für Drehzahlpruefung	TEV not yet closed for speed test
TIA (Fehlerwert)	TIA (fault value)
TKW-MAX Plausibilitaet	TKW-MAX plausibility
TPS-MAF Unplausibilitaet	TPS-MAF implausibility
TPS-Poti 1 unplausibel zur Luftmasse	TPS potentiometer 1 implausible relative to air mass
TPS-Poti 2 unplausibel zur Luftmasse	TPS potentiometer 2 implausible relative to air mass
TV Ansteuerung - Kuehlwasserheizung	TV drive - coolant heater
TV Ansteuerung - Motorlager	TV drive - engine mount
TV Ansteuerung - Vorfoerderpumpe	TV drive - pre-supply pump
TV Ansteuerung ARF-Steller	TV drive EGR actuator
TV Ansteuerung Abluftlappensteuerung	TV drive exhaust flap control
TV Ansteuerung Diagnoselampe	TV drive diagnostic lamp
TV Ansteuerung El.Motorluefter	TV drive electric fan
TV Ansteuerung Gluehrelaissteller	TV drive glow relay actuator
TV Ansteuerung Klimakompressor	TV drive AC compressor
TV Ansteuerung Ladedrucksteller	TV drive boost pressure actuator
TV Anteuerung Gluehanzeige	TV drive glow indicator
TV Lambdasondenheizung Nach-Kat Bank 1	TV lambda sensor heater post-catalyst bank 1
TV Lambdasondenheizung Nach-Kat Bank 2	TV lambda sensor heater post-catalyst bank 2
TV Lambdasondenheizung Vor-Kat Bank 1	TV lambda sensor heater pre-catalyst bank 1
TV Lambdasondenheizung Vor-Kat Bank 2	TV lambda sensor heater pre-catalyst bank 2
TV-Verschiebung nach KAT zu gross	TV shift after catalytic converter too large
TV-Verschiebung vor KAT zu gross	TV shift before catalytic converter too large
TV-Wert zu gross	TV value too large
TV-Wert zu klein	TV value too small
TZ- Sperrleitung	TZ lockout line
T_W Wassertemperatur fuer SBR	T_W coolant temperature for SBR
Tachosignal unplausibel	Speedometer signal implausible
Tankdeckel fehlt	Fuel filler cap missing
Tankdeckel nicht korrekt geschlossen	Fuel filler cap not correctly closed
Tankdrucksensor (TDS)	Tank pressure sensor (TDS)
Tankentlueftung aktiv ist	Tank ventilation active
Tankentlueftung functional check	Tank ventilation functional check
Tankentlueftung verstopfte Leitung Tank - AKF	Tank ventilation clogged line tank - carbon canister
Tankentlueftungsadaption 1	Tank ventilation adaptation 1
Tankentlueftungsadaption 2	Tank ventilation adaptation 2
Tankentlueftungssystem	Tank ventilation system
Tankentlueftungssystem Beladungs- od. Drehzahlpruefung    OBDII Fehler !!	Tank ventilation system loading or speed test    OBDII fault !!
Tankentlueftungssystem Leckerkennung	Tank ventilation system leak detection
Tankentlueftungssystem verstopfte Leitung	Tank ventilation system clogged line
Tankentlueftungsventil	Tank ventilation valve
Tankentlueftungsventil Endstufe	Tank ventilation valve output stage
Tankentlueftungsventil Endstufe    OBDII Fehler !!	Tank ventilation valve output stage    OBDII fault !!
Tankentlüftungssystem	Tank ventilation system
Tankentlüftungssystem beim Bandendetest	Tank ventilation system during end-of-line test
Tankfuellstand	Fuel tank level
Tankfuellstand (tfst)	Fuel tank level (tfst)
Tankfuellstand ueber CAN-Bus unplausibel	Fuel tank level via CAN bus implausible
Tankfuellstand unplausibel	Fuel tank level implausible
Tankfuellstandsinfo	Fuel tank level info
Tankfuellstandsinfo von CAN	Fuel tank level info from CAN
Tankfuellstandssignal Tank1 fehlerhaft	Fuel tank level signal tank 1 faulty
Tankfuellstandssignal Tank2 fehlerhaft	Fuel tank level signal tank 2 faulty
Tankfuellstandssignal bei Fehlereintrag aktiv	Fuel tank level signal active at fault entry
Tankfuelstand (CAN)	Fuel tank level (CAN)
Tankleck	Tank leak
Tankleckdiagnose mit DMTL	Tank leak diagnosis with DMTL
Tankleckdiagnosepumpe	Tank leak diagnostic pump
Tankleckdiagnoseventil	Tank leak diagnostic valve
Taste	Button
Tasten links Radio-laut und leise gleichzeitig betaetigt	Left buttons radio volume up and down pressed simultaneously
Tasten rechts SB und VER gleichzeitig betaetigt	Right buttons SB and VER pressed simultaneously
Taster Aktivsitz links dauernd betaetigt	Button active seat left continuously pressed
Taster Aktivsitz rechts dauernd betaetigt	Button active seat right continuously pressed
Taster Entriegeln Heckscheibe	Button unlock rear window
Taster Sitzheizung links dauernd betaetigt	Seat heating left button permanently actuated
Taster Sitzheizung rechts dauernd betaetigt	Seat heating right button permanently actuated
Taster Sonnenrollo Fernbedienung dauernd betaetigt	Sunblind remote control button permanently actuated
Taster Sonnenrollo Front dauernd betaetigt	Sunblind front button permanently actuated
Tastverh. Tankentlueftung	Duty cycle tank ventilation
Tastverhaelnis E-Luefter (taml)	Duty cycle electric fan (taml)
Tastverhaeltnis < 1s ueberschritten	Duty cycle < 1s exceeded
Tastverhaeltnis > 1s ueberschritten	Duty cycle > 1s exceeded
Tastverhaeltnis Ansteuerung AGR-Steller	Duty cycle EGR actuator control
Tastverhaeltnis Ansteuerung Drallklappe	Duty cycle swirl flap control
Tastverhaeltnis Ansteuerung Elektroluefter	Duty cycle electric fan control
Tastverhaeltnis Ansteuerung Gluehrelais	Duty cycle glow relay control
Tastverhaeltnis Ansteuerung Klimakompressor	Duty cycle A/C compressor control
Tastverhaeltnis Ansteuerung Kuehlwasserheizung	Duty cycle coolant heater control
Tastverhaeltnis Ansteuerung Ladedrucksteller	Duty cycle boost pressure actuator control
Tastverhaeltnis Ansteuerung Motorlager	Duty cycle engine mount control
Tastverhaeltnis Ansteuerung Raildruckregelventil	Duty cycle rail pressure control valve control
Tastverhaeltnis Ansteuerung Vorfoerderpumpe	Duty cycle pre-supply pump control
Tastverhaeltnis Elektroluefteransteuerung	Duty cycle electric fan control
Tastverhaeltnis Leerlaufsteller	Duty cycle idle actuator
Tastverhaeltnis Tankentlueftungsventil	Duty cycle tank ventilation valve
Tastverhaeltnis VVT- Motoransteuerung	Duty cycle VVT engine control
Tastverhaeltnis klemmt bei 100%	Duty cycle stuck at 100%
Tastverhaeltnis ungueltig	Duty cycle invalid
Tastverhaeltnis zu hoch	Duty cycle too high
Tastverhältnis - Abgasrückführsteller	Duty cycle - EGR actuator
Tastverhältnis - Drallklappe	Duty cycle - swirl flap
Tastverhältnis - Drosselklappe	Duty cycle - throttle valve
Tastverhältnis - Elektroluefter	Duty cycle - electric fan
Tastverhältnis - Ladedrucksteller	Duty cycle - boost pressure actuator
Tastverhältnis zür Endstufenansteuerung	Duty cycle for output stage control
Telegramm Geschwindigkeit ungueltig	Message vehicle speed invalid
Telegramm Gierrate ungueltig	Message yaw rate invalid
Telegramm Klemmenstatus Timeout oder ungueltig	Message terminal status timeout or invalid
Telegramm Lampenzustand ungueltig	Message lamp status invalid
Telegramm Lenkwinkel ungueltig	Message steering angle invalid
Telegramm Steuerung ALC Timeout oder ungueltig	Message ALC control timeout or invalid
Telegramm nicht empfangen	Message not received
Telegrammfehler (extern)	Message error (external)
Telegramminhalt unplausibel	Message content implausible
Telegramminhalt war kein Startwert (event. Wechselcode)	Message content was not a start value (possibly rolling code)
Temperatur	Temperature
Temperatur Ansaugluft	Intake air temperature
Temperatur Ansaugluft beim Start	Intake air temperature at start
Temperatur E-Motor zu hoch	Electric motor temperature too high
Temperatur Kuehleraustritt	Radiator outlet temperature
Temperatur Kuehlwasser	Coolant temperature
Temperatur Kuehlwasser bei Motorstop	Coolant temperature at engine stop
Temperatur Kuehlwasser beim Start	Coolant temperature at start
Temperatur Kuehlwasser unplausibel	Coolant temperature implausible
Temperatur Motoroel	Engine oil temperature
Temperatur Sensor	Temperature sensor
Temperatur im CD-player zu hoch	Temperature in CD player too high
Temperatur im NAV-Rechner zu hoch	Temperature in navigation computer too high
Temperatur im Navigationsrechner zu hoch	Temperature in navigation computer too high
Temperatur nach Vor-KAT 1 Spannungswert	Temperature after pre-catalyst 1 voltage value
Temperatur nach Vor-KAT 2 Spannungswert	Temperature after pre-catalyst 2 voltage value
Temperatur nach Vorkatalysator Startwert	Temperature after pre-catalyst start value
Temperatur prealarm	Temperature prealarm
Temperatur sehr hoch oder Kurzschluss Masse	Temperature very high or short circuit to ground
Temperatur sehr niedrig oder Kurzschluss UBatt	Temperature very low or short circuit to battery voltage
Temperatur zu hoch	Temperature too high
Temperatur zu hoch (Tastverhaeltnis zu hoch)	Temperature too high (duty cycle too high)
Temperatur zu niedrig	Temperature too low
Temperatur zu niedrig (Tastverhaeltnis zu niedrig)	Temperature too low (duty cycle too low)
Temperatur; Steuergeraetefehler	Temperature; control unit fault
Temperaturabweichung im Mess-Modus	Temperature deviation in measurement mode
Temperaturfuehler	Temperature sensor
Temperaturfuehler Ansaugluft	Intake air temperature sensor
Temperaturfuehler Kuehleraustritt	Radiator outlet temperature sensor
Temperaturfuehler Motoroel (wird z. Zt. nicht verwendet)	Engine oil temperature sensor (currently not used)
Temperaturfuehler Motortemperatur	Engine temperature sensor
Temperaturfuehler Oel	Oil temperature sensor
Temperaturfuehlereingang, kein Sensor angeschlossen	Temperature sensor input, no sensor connected
Temperaturfuehlereingang, permanent auf Masse	Temperature sensor input, permanently to ground
Temperaturgradient zu steil	Temperature gradient too steep
Temperaturmessung fehlerhaft	Temperature measurement faulty
Temperatursensor Monitor unplausibler Wert	Temperature sensor monitor implausible value
Temperatursensor Sitzheizung links Kurzschluss gegen Masse	Seat heating left temperature sensor short circuit to ground
Temperatursensor Sitzheizung links Leitungsunterbrechung	Seat heating left temperature sensor open circuit
Temperatursensor Sitzheizung rechts Kurzschluss gegen Masse	Seat heating right temperature sensor short circuit to ground
Temperatursensor Sitzheizung rechts Leitungsunterbrechung	Seat heating right temperature sensor open circuit
Temperatursignal konstant	Temperature signal constant
Temperaturwarnung	Temperature warning
Tempomatsystem	Cruise control system
Testbedingung nicht erfuellt	Test condition not met
Testbedingungen erfuellt	Test conditions met
Testbedingungen erfüllt	Test conditions met
Testbedingungen noch nicht erfuellt	Test conditions not yet met
Testbedingungen noch nicht erfüllt	Test conditions not yet met
Testfunktion (alle an)	Test function (all on)
Testprogramm beendet	Test program finished
Testprogramm laeuft	Test program running
Testprogramm nicht ordnungsgemaess beendet	Test program not terminated properly
Text a	Text a
Text b	Text b
Text c	Text c
Text d	Text d
Text x	Text x
Text y	Text y
Thermostat Kennfeldkuehlung mechanisch, klemmt offen	Map-controlled cooling thermostat mechanically stuck open
Thermostat klemmt	Thermostat stuck
Thermostat klemmt offen	Thermostat stuck open
Thermostatheizung, KFK	Thermostat heating, map-controlled cooling
Tiefenentladung	Deep discharge
Tiefentladung	Deep discharge
Timeout	Timeout
Timeout Botschaft Antriebsschlupfregelung (ASR)	Timeout message traction control (ASR)
Timeout CAN-Botschaft ASC1	Timeout CAN message ASC1
Timeout CAN-Botschaft ASC3	Timeout CAN message ASC3
Timeout CAN-Botschaft EGS1	Timeout CAN message EGS1
Timeout CAN-Botschaft INSTR2	Timeout CAN message INSTR2
Timeout CAN-Botschaft INSTR3	Timeout CAN message INSTR3
Timeout CAN-Botschaft LWS1	Timeout CAN message LWS1
Timeout CAN-Botschaft zum EGS	Timeout CAN message to EGS
Timeout CAN-Kommunikation	Timeout CAN communication
Timeout DSC-Botschaft	Timeout DSC message
Timeout EWS-Telegramm (kein Signal innerhalb 10s nach Kl.15 ein)	Timeout EWS message (no signal within 10s after terminal 15 on)
Timeout KOMBI-Botschaft	Timeout instrument cluster message
Timeout LWS-Botschaft	Timeout steering angle sensor message
Timeout Message Counter	Timeout message counter
Timeout SMG-CAN	Timeout SMG CAN
Timeout SPI-Bus Endstufenbaustein	Timeout SPI bus output stage module
Timeout SPI-Bus Klopfsensorauswertebaustein	Timeout SPI bus knock sensor evaluation module
Timeout SSG - Botschaft	Timeout SSG message
Timeout abgelaufen	Timeout expired
Timeout/Unterbrechung	Timeout/interruption
Timeoutfehler: 10 Sekunden nach Kl.15 EIN noch kein EWS-Telegramm empfangen, evtl. Leitungsunterbrechung oder Kurzschluss nach Minus	Timeout error: 10 seconds after terminal 15 on no EWS message received yet, possibly open circuit or short circuit to ground
Timeoutzeit erreicht	Timeout time reached
Timer Watchdog	Timer watchdog
Tip +/ Tip up	Tip +/ Tip up
Tip -/ Tip down	Tip -/ Tip down
Tipp Schieben Auf	Tip open (sliding)
Toggelbit Periode fehlerhaft	Toggle bit period faulty
Toggle-Bit Fehler	Toggle bit fault
Toggle-Bit fehlerhaft	Toggle bit faulty
Toggle-Bit-Periode falsch	Toggle bit period incorrect
Toleranz zum Motortemperaturmodell zu gross	Tolerance to engine temperature model too large
Toleranzueberschreitung Aktivsitz links	Tolerance exceeded active seat left
Toleranzueberschreitung Aktivsitz rechts	Tolerance exceeded active seat right
Tongeber hinten	Sound generator rear
Tongeber vorne	Sound generator front
Transportmode ein	Transport mode on
Transportmode gesetzt	Transport mode set
Treiber Kurvenlicht SMC links defekt	Cornering light SMC driver left defective
Treiber Kurvenlicht SMC rechts defekt	Cornering light SMC driver right defective
Treiberabschaltung wegen Ueberlast	Driver shutdown due to overload
Träge Reaktion nach Schubphase	Sluggish reaction after overrun phase
Tuergriffkontakt TGK	Door handle contact TGK
Tuerkontakt	Door contact
Tuerkontakt FTH	Door contact FTH
Tuerkontakt Fahrertuer	Driver's door contact
Turbinendrehzahl	Turbine speed
U-Batt. Versorgung Kl. 87	Battery voltage supply terminal 87
U0001 High Speed CAN-Kommunikationsbus - Fehlfunktion	U0001 High speed CAN communication bus - malfunction
U0002 High Speed CAN-Kommunikationsbus - Leistungsproblem	U0002 High speed CAN communication bus - performance problem
U0003 High Speed CAN-Kommunikationsbus (+) - Leitungsunterbrechung	U0003 High speed CAN communication bus (+) - open circuit
U0004 High Speed CAN-Kommunikationsbus (+) - Input niedrig	U0004 High speed CAN communication bus (+) - input low
U0005 High Speed CAN-Kommunikationsbus (+) - Input hoch	U0005 High speed CAN communication bus (+) - input high
U0006 High Speed CAN-Kommunikationsbus (-) - Leitungsunterbrechung	U0006 High speed CAN communication bus (-) - open circuit
U0007 High Speed CAN-Kommunikationsbus (-) - Input niedrig	U0007 High speed CAN communication bus (-) - input low
U0008 High Speed CAN-Kommunikationsbus (-) - Input hoch	U0008 High speed CAN communication bus (-) - input high
U0009 High Speed CAN-Kommunikationsbus (-) - Kurzschluss mit Bus (+)	U0009 High speed CAN communication bus (-) - short circuit to bus (+)
U0010 Medium Speed CAN-Kommunikationsbus - Fehlfunktion	U0010 Medium speed CAN communication bus - malfunction
U0011 Medium Speed CAN-Kommunikationsbus - Leistungsproblem	U0011 Medium speed CAN communication bus - performance problem
U0012 Medium Speed CAN-Kommunikationsbus (+) - Leitungsunterbrechung	U0012 Medium speed CAN communication bus (+) - open circuit
U0013 Medium Speed CAN-Kommunikationsbus (+) - Input niedrig	U0013 Medium speed CAN communication bus (+) - input low
U0014 Medium Speed CAN-Kommunikationsbus (+) - Input hoch	U0014 Medium speed CAN communication bus (+) - input high
U0015 Medium Speed CAN-Kommunikationsbus (-) - Leitungsunterbrechung	U0015 Medium speed CAN communication bus (-) - open circuit
U0016 Medium Speed CAN-Kommunikationsbus (-) - Input niedrig	U0016 Medium speed CAN communication bus (-) - input low
U0017 Medium Speed CAN-Kommunikationsbus (-) - Input hoch	U0017 Medium speed CAN communication bus (-) - input high
U0018 Medium Speed CAN-Kommunikationsbus (-) - Kurzschluss mit Bus (+)	U0018 Medium speed CAN communication bus (-) - short circuit to bus (+)
U0019 Low Speed CAN-Kommunikationsbus - Fehlfunktion	U0019 Low speed CAN communication bus - malfunction
U0020 Low Speed CAN-Kommunikationsbus - Leistungsproblem	U0020 Low speed CAN communication bus - performance problem
U0021 Low Speed CAN-Kommunikationsbus (+) - Leitungsunterbrechung	U0021 Low speed CAN communication bus (+) - open circuit
U0022 Low Speed CAN-Kommunikationsbus (+) - Input niedrig	U0022 Low speed CAN communication bus (+) - input low
U0023 Low Speed CAN-Kommunikationsbus (+) - Input hoch	U0023 Low speed CAN communication bus (+) - input high
U0024 Low Speed CAN-Kommunikationsbus (-) - Leitungsunterbrechung	U0024 Low speed CAN communication bus (-) - open circuit
U0025 Low Speed CAN-Kommunikationsbus (-) - Input niedrig	U0025 Low speed CAN communication bus (-) - input low
U0026 Low Speed CAN-Kommunikationsbus (-) - Input hoch	U0026 Low speed CAN communication bus (-) - input high
U0027 Low Speed CAN-Kommunikationsbus (-) - Kurzschluss mit Bus (+)	U0027 Low speed CAN communication bus (-) - short circuit to bus (+)
U0028 Fahrzeug-Kommunikationsbus A - Fehlfunktion	U0028 Vehicle communication bus A - malfunction
